course_code,course_title,credit_hours,course_desc,pre-requisite,course_objectives,course_outcomes
GR101,Self-Learning Skills,3,"GR101 focuses on developing self-learning skills. It prepares students for university studying and specifically time management, good study habits, critical and analytic thinking styles.",,,
GR111,Arabic Islamic Civilization,3,Overall views in the history of Arabic-Islamic Civilization. Concepts and Social Issues. The effect of Islamic Civilization on the European Renaissance. Trends of Stagnation in the Islamic Civilization. Modern Arabic Renaissance. Islamic Arts and Architecture.,,,
GR112,Issues and Problems of Development in the Arab Region,3,"GR112 deals with issues and problems related to the development of the Arab region, specifically human development and its social indicators, Arab culture, education, mass media, health, nutrition, women, environment and natural resources.",,,
GR116,Empowerment of Youth,3,"This course aims to empower and prepare the youth to engage in political, social and economic life, raising awareness in these aspects and developing their leadership skills.",,,
GR118,Life skills and Coexistence,3,"This course enables individuals to develop their positive and adaptive behaviors to effectively deal with the requirements and challenges of life. It aims at helping students to acquire skills such as: effective communication, problem solving, stress management and leadership. It also deals with issues such as: human and women rights, democracy, accepting others and tolerance.",,,
GR121,Environment and Health,3,The course focuses on introduction social and natural sciences which study the relationship between human activity and human environment. Looking at various topics using a case-study approach.,,,
GR131,History and civilization of the Sultanate of Oman,3,GR131 introduces students to current issues of interest to socio-economic development at the local and regional levels.,,,
M105,Introduction to Programming Using Java,3,"This module is an introductory level programming module and it is meant to provide basic foundation in computer programming to students. Students will learn how to develop solutions (algorithms) using pseudocode to solve simple problems. Thereafter, they will learn how to implement these solutions using a programming language (Java). This module serves as foundation for second level programming modules.",EL111,,
M109,.NET Programming,3,This module is intended to introduce and present the fundamental skills that are required to design and develop object-oriented programs and applications in .NET Framework,,To understand the .NET framework architecture.To provide students with a range of skills to analyze a problem and construct a .NET program that solves it.To provide the principles of object oriented programming.To implement object-oriented concepts in .NET environment.To understand the Visual Studio Integrated Development EnvironmentTo develop .NET applications using the selected programming language.,"A.Knowledge andunderstandingExplain .NET Platform.Describe data types, variables, constants, operators and built-in functions in the selected .NET programming language.Discuss decision-making and looping statements.Explain object oriented concepts such as classes, objects and methods.Describe the features of object oriented programming such as Inheritance and Polymorphism.Explain the concept of arrays.Identify errors and different types of exceptions in a .NET program.B. Cognitive skillsUpon completing this module, students will be able to:Develop appropriate programs in .NET framework.Apply object oriented concepts in .NET framework.Test and debug a .NET programC. Practical and professional skillsUpon completing this module, students will be able to:Develop programming skills in .NET platform.Use variables, constants, operators, built-in functions, methods and arrays in a .NET program.Write codes in a .NET programming language that make use of structured programming constructs of sequence, selection and repetition.Apply classes, objects and other object oriented concepts such as inheritance and polymorphism in a .NET program.Test and debug .NET programs.Use the Visual Studio IDE to build .NET applications using the selected .NET programming language.D. Key transferable skillsUpon completing this module, students will be able to:Collaborate effectively within a group using electronic conferencing techniques.Facilitate discussions in a conference.Develop self- learning and performance.Discuss about testing strategies, design, and code.Use electronic media (the web and electronic conferencing) for information retrieval and communication."
M131,Discrete Mathematics,3,"This is an elementary level module which introduces various topics in discrete mathematics. It offers a clear and comprehensive survey of logic operations, predicates, quantifiers, sets, functions, relations. Also, the module provides the concept of permutations, combinations and counting techniques which are needed as prerequisite in most of technology and communication modules. Moreover, the module gives some knowledge of relevant algorithmic ideas in number theory and cryptography that are widely used in data structure, data base, programming, data communication and in scientific research.",EL111,,
M132,Linear Algebra,3,"The course introduces a range of ideas concerning matrices and its applications, matrix operations that are widely used in data structure, programming, data communication, digital signal processing and in scientific research. The course shows algorithmic method to solve systems of linear equations. Moreover, it includes concept of vector spaces and subspace that are used to construct algebraic codes. Also, it introduces the meaning of basis and dimension of a subspace the vector space Rn. The concept of linear transformation between two vector spaces together with null space and rank are also included. Finally, the course introduce the idea of characteristic values/vectors and diagonalization.",,"Extend the students' basic mathematical awareness and skills in matrices and matrix operations.Give the study skills necessary for students to be able to solve system of linear equations.Provide a range of useful ideas such as linear combinations and linear independence.Present some important mathematical terms such as span, basis and dimensions.Upgrade the concept of linear transformation necessary for other compulsory technology and communication modules.Give a feeling for the mathematical approach to the study of computer science.","A. Knowledge and understandingStudent will be able to:Define and classify type of matrices and perform matrix operations.Solve problems in information systems and communication using matrix techniques.Use and apply linear algebra knowledge and concepts to information technologies and computing.Be familiar with different terminologies in linear algebra and matrix transformation.Acquire technical material, effectively present it and objectively evaluate other technical materials in linear algebra.B. Cognitive skillsStudents should be able to demonstrate that they can:Produce descriptions and explanations of the different types of matrices and linear operations.Apply their understanding of the studied ideas in linear algebra to coding problems, encryption and decryption.Use knowledge gained from the module to help them to understand new unfamiliar matrix operations.C. Practical and professional skillsStudents should be able to:Communicate effectively in English and Arabic in a variety of contexts and media.Analyze a mass of information and carry out an appropriate analysis of the problem material.Express a problem in mathematical terms and carry out an appropriate analysis.Reason critically and interpret information in a manner that can be communicated effectively.Integrate and link information across course components.D. Key transferable skillsStudents should be able to demonstrate that they can:Communicate complex information, arguments and ideas effectively and without plagiarism on a range of topics relating to linear operations.Perform calculations to find inverse of a matrix, use and manipulate simple algebraic calculations to solve linear system of equations.Use technology to find a span and a basis for a vector space.Enhance existing numerical ability.Work effectively as part of a group in solving any complicated mathematical problems."
M251,Object Oriented Programming using Java,8,"This module is intended to provide students a good understanding of object-oriented principles, including inheritance, polymorphism, class libraries, interacting objects, and the unified modelling language (UML). It uses the JAVA language to illustrate theses principles.",,"Introduce all aspects of object-oriented principlesIdentifying and implementing class relationships using abstract classes, interfaces and inheritanceProvide knowledge in using simple UML class diagramsDescribe how these concepts are implemented in javaProvide knowledge in how to explore the JAVA API and to develop your ownProvide the knowledge necessary to construct java programsDescribe a number of the advanced facilities of java including exceptionsShow how java can be used in developing non-trivial programsIntroduce good design and programming practice","A. Knowledge and understandingAfter studying the module,the student will be able todemonstrate:An understanding of the object-oriented principlesSome knowledge of the main constructs and mechanisms in JavaAn appreciation of the implications of object oriented software analysis and designAn understanding of the techniques used in developing a large Java programB. Cognitive skillsAfter studying the module,the student will be able to:Describe and apply key concepts and techniques in software design and developmentAnalyze and abstract away from the details of a problemDesign and formulate an appropriate solution to a problem and evaluate itC. Practical and professional skillsAfter studying the module,the student will be able to:Assemble, program, develop, debug, test and evaluate software systemsUse software tools such as a Java IDEUse good design and programming practiceDevelop and implement class relationshipsD. Key transferable skillsAfter studying the module,the student will be able to:Find information from a range of sources to support a taskPlan complex tasksUse new Java librariesUse appropriate numerical, mathematical and abstraction skillsProgress to more advanced level studies"
M257,Programming using Java,5,"This module is intended to provide students a good understanding of object-oriented principles, including inheritance, polymorphism, class libraries, interacting objects, and the unified modelling language (UML). It uses the JAVA language to illustrate theses principles.",M253,"Introduce all aspects of object-oriented principlesIdentifying and implementing class relationships using abstract classes, interfaces and inheritanceProvide knowledge in using simple UML class diagramsDescribe how these concepts are implemented in javaProvide knowledge in how to explore the JAVA API and to develop your ownProvide the knowledge necessary to construct java programsDescribe a number of the advanced facilities of java including exceptionsShow how java can be used in developing non-trivial programsIntroduce good design and programming practice",
M269,"Algorithms, Data structures and Computability.",8,"One of the basic pillars of advanced computing projects consists of the set of proper algorithms used to solve not only traditional but also unconventional IT problems. With the huge amount of data embedding the new data science, being skilled in setting proper data structure, managing and understanding computability techniques become a must nowadays. M269 is one of the most important modules for information technologies and computing related majors and tracks. The underlying concepts of this module are implemented using the python programming language.",,Provide the students with the required skills to possess the computational thinking. These skills start by proper understanding and analyzing the problems to be solved and end by providing computer programs that solve these problems.One of the important aspects of this module is to provide the students with the awareness of the limits of computation and the ability to decide which problems can and which cannot be solved efficiently with computers.,"A. Knowledge and understandingUpon completing this module, students will be able to:Identify and define the sets, functions and logic, and their application in the design, implementation and analysis of computer-based systems.Define and recognize Data structure and computational problematic.B. Cognitive skillsUpon completing this module, students will be able to:Explain, construct and use algorithms and data structures to solve computational problems.Describe and assess the difficulty of computational problems.Analyse algorithms and computational problems making use of several informal proof techniquesC. Practical and professional skillsUpon completing this module, students will be able to:Use the Python programming language to implement algorithms.Write a short report which is based on one or more sources and which has a well-argued conclusion.D. Key transferable skillsUpon completing this module, students will be able to:Apply appropriate computational problem-solving techniques to a range of problems;Apply computational thinking skills to solve problems across a range of application areas.Discuss the questions 'What is computation?' and 'What are its limits?', and explain how the answers to these questions have important implications for the practical use of computer-based systems."
M298,Operating Systems,4,The study of Operating Systems is essential since these are an integral part of modern IT systems. This is an introductory level module which introduces students to fundamental concepts of a variety of operating systems.,T103,"Provide students extensive knowledge on OS in general, OS principles and modules and how their internals work and functions.Provide key mechanisms in design of operating systems modules.Introduce students to definitions of the Operating Systems such as OS control all of a computer's resources and present users with the equivalent of virtual machines that are easier to program than their underlying hardware.Teach core operating systems concepts including operating system structure, process management, synchronization and concurrency, threads, memory management techniques, process scheduling and resource management, virtual memory concepts, deadlocks.Give an overview of fundamental operating system principles, complemented with discussions of concrete modern systems to help students understand how these principles are applied in real OSs.Enable students to compare performance of processor scheduling algorithms.Teach students to produce algorithmic solutions to process synchronization problems.Provide students with a good grasp of basic abstractions employed in system-level software (such as processes, threads, virtual memory, caching, etc.),Teach students to use modern operating system calls such as Linux process and synchronization libraries.Develop a sense in understand designing and implementing systems and working as part of a team.",
MS101,Physics,3,"An understanding of the physical phenomena underlying the operation of devices involved in information processing and transmission can lead to better understanding of those devices.    In addition, software developers of computer games frequently require knowledge of the behavior of physical objects in order to produce realistic games.  Finally, as a fundamental science, a good understanding of physics and its techniques will help students develop a better understanding of nature and how to approach studying it.  The module has implicit links to computer communication and software development modules, in addition to the final year project.",,To impart knowledge and understanding of fundamental concepts of physics likely to be needed by the students for later modules and future careers.To develop an appreciation of physics' tools and techniques for understanding the real world.To develop transferrable problem-solving skills that can be applied in other areas.,
MS102,Physics,3,"An understanding of the physical phenomena underlying the operation of devices involved in information processing and transmission can lead to better understanding of those devices.    In addition, software developers of computer games frequently require knowledge of the behavior of physical objects in order to produce realistic games.  Finally, as a fundamental science, a good understanding of physics and its techniques will help students develop a better understanding of nature and how to approach studying it.  The module has implicit links to computer communication and software development modules, in addition to the final year project.",,To impart knowledge and understanding of fundamental concepts of physics likely to be needed by the students for later modules and future careers.To develop an appreciation of physics' tools and techniques for understanding the real world.To develop transferrable problem-solving skills that can be applied in other areas.,"A. Knowledge and understandingUpon completing this module, students will be able to:Explain the various important units of physics and the concept of dimensional analysis and the representation and manipulation of physical quantitiesOutline the laws of classical mechanicsContrast and differentiate among the different types of waves and summarize their propertiesExplain electric forces and fields and summarize their propertiesIllustrate and explain basic passive electric circuitsB. Cognitive skillsUpon completing this module, students will be able to:Identify concepts and quantities in physics precisely beyond what is used in everyday language.Apply strategies for solving problems in physics in different situations.Use vector algebra to the study of mechanics in two dimensions.Analyze passive electric circuits.Analyze wave propagation in different materials.C. Practical and professional skillsUpon completing this module, students will be able to:Use and interpret different types of graphs to display the relationship between variablesAnalyze the forces of static and dynamic bodies in simple mechanical systemsCalculate the velocity and acceleration of bodies in different types of plane motionDetermine basic parameters of waves propagating in different materialsCalculate voltages and currents in passive electric circuitsD. Key transferable skillsUse the learning Management System (LMS) effectively to improve own learning performance.Demonstrate active participation and contribution to classroom discussions.Improve own learning and performance through self-reflection.Demonstrate effective communicate about technical matters."
MT101,General Mathematics,3,"General Mathematics provides students a college level academicexperience that emphasizestheuseofalgebraandfunctionsinproblemsolving andmodelling.It also provides a foundation in quantitative literacy,supplies the algebra and other mathematics needed in partner and subsequent disciplines. Thismodule isanintroductorylevelcoursewhich,inspecific, reviews various areas of college mathematicssuchaslinearequations, quadraticequations,rationalexpressions, analyticgeometry,solvingandgraphing inequalities, imaginarynumbers andsets.The coursealsointroduceselementary functionssuchas linear,quadratic,polynomial, exponential,and logarithmic.",,,
MT129,Calculus and Probability,4,"This module introduces the concepts of differentiation and integration as well as some applications of differential and integral calculus. Moreover, the module offers a clear and comprehensive survey of the of data sampling, measurements of central tendency and spread, organizing and visualizing categorical and numerical data. It also includes topics in the basic probability such as events, simple probability, conditional probability, and Bayes’ rule. Finally, it provides an introduction to fundamental basis and concepts of statistical inferences, normal distribution. The module has direct links to computing, programming and communication modules, in addition to the numerical analysis module.",,"The module aims to:Apply the knowledge of elementary functions to calculus concepts.To compute the derivative of polynomials, rational, radical, trigonometric, exponential, and logarithmic functions.Evaluate the integrals of polynomials, rational, radical, trigonometric, exponential, and logarithmic functions.Introduce the terms and concept of probability, and the idea of discrete and continuous random variables.Ensure the understanding of mathematical expectations and moment generating functions concepts.Equip students with some important discrete and continuous probability distributions in technology and communication modules.","A. Knowledge and understandingStudents will be able to:Use derivative rule to find derivatives of power, exponential, logarithmic and trigonometric functions.Solve simple definite and indefinite integrals.Use applications of differentiation and integration in sketching graphs, obtain area between curves and average value of functions.Define and identify random variables for any well- defined probability problems.Realize mathematical expectations and variances for different continuous and discrete distributionB. Cognitive skillsStudents should be able to:Produce descriptions and explanations of the different types of elementary functions and apply their understanding of the studied functions to information systems.Display deep knowledge gained from the course and use it to solve optimization problems.Utilize knowledge gained from the course to help them to understand new unfamiliar probability distributions.C. Practical and professional skillsStudents will be able to:Apply the practical skills gained from differential and integral calculus ITC problems.Cultivate the capacity to be leaders in their professional and personal communities.Develop some technical statistical materials; effectively present and objectively evaluate them.Deal with statistical computer applications such as spread sheets and MATLAB statistics toolbox.D. Key transferable skillsStudents will be able to:Be aware of the implications of information technology in daily lives and on society as a whole, and the ability to utilize IT to communicate and solve problems.Use information, reasoning, and creative processes to solve problems and achieve goals.Implement global issues gained from module and their implications on their daily lives."
